0F1EC0A90C33E9B5 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 07 tacID: 2 Tcoarse: C0A9 Ecoarse: 0C3 Tfine: 0FA Efine: 1B5 
0F65C0A80C22F5EC DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 19 tacID: 1 Tcoarse: C0A8 Ecoarse: 0C2 Tfine: 0BD Efine: 1EC 
0F51C14015A3C993 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C140 Ecoarse: 15A Tfine: 0F2 Efine: 193 
0751C13F15935D94 DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C13F Ecoarse: 159 Tfine: 0D7 Efine: 194 
1751C13F1593655E DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C13F Ecoarse: 159 Tfine: 0D9 Efine: 15E 
1F51C13F15938176 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C13F Ecoarse: 159 Tfine: 0E0 Efine: 176 
1F55C15516F3459C DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 15 tacID: 1 Tcoarse: C155 Ecoarse: 16F Tfine: 0D1 Efine: 19C 
2151825827236E7F DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: 8258 Ecoarse: 272 Tfine: 0DB Efine: 27F 
21F8827A29451E08 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID: 3E tacID: 0 Tcoarse: 827A Ecoarse: 294 Tfine: 147 Efine: 208 
315182592733A1D7 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: 8259 Ecoarse: 273 Tfine: 0E8 Efine: 1D7 
3900826027A4ADCC DATA   : TIGER: 7 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID: 00 tacID: 0 Tcoarse: 8260 Ecoarse: 27A Tfine: 12B Efine: 1CC 
E00E958A36000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 0074AC: GEMROC_ID: 0A TIGER_ID: 6 LOCAL L1 COUNT[2:0]: 6 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A000000000001F Sequence.

C0000000200D40FF HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000020 HitCount: 0D LOCAL L1 TIMESTAMP: 40FF
08533B993B33C99A DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B99 Ecoarse: 3B3 Tfine: 0F2 Efine: 19A 
00533B983B235582 DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B98 Ecoarse: 3B2 Tfine: 0D5 Efine: 182 
10533B983B236922 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B98 Ecoarse: 3B2 Tfine: 0DA Efine: 122 
18533B983B237D60 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B98 Ecoarse: 3B2 Tfine: 0DF Efine: 160 
2F51C14015A3C573 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C140 Ecoarse: 15A Tfine: 0F1 Efine: 173 
2F05C15817234179 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 01 tacID: 1 Tcoarse: C158 Ecoarse: 172 Tfine: 0D0 Efine: 179 
2F37C1761904398A DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 0D tacID: 3 Tcoarse: C176 Ecoarse: 190 Tfine: 10E Efine: 18A 
2F61C17418E3818D DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 18 tacID: 1 Tcoarse: C174 Ecoarse: 18E Tfine: 0E0 Efine: 18D 
2F4BC17518F289A7 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 12 tacID: 3 Tcoarse: C175 Ecoarse: 18F Tfine: 0A2 Efine: 1A7 
2F16C17618F4C5A7 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 05 tacID: 2 Tcoarse: C176 Ecoarse: 18F Tfine: 131 Efine: 1A7 
2751C13F1593597F DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C13F Ecoarse: 159 Tfine: 0D6 Efine: 17F 
3751C14015A3892A DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 14 tacID: 1 Tcoarse: C140 Ecoarse: 15A Tfine: 0E2 Efine: 12A 
373CC17018A2F173 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 7 TIGER DATA: ChID: 0F tacID: 0 Tcoarse: C170 Ecoarse: 18A Tfine: 0BC Efine: 173 
E0107E0A10000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 0083F0: GEMROC_ID: 0A TIGER_ID: 2 LOCAL L1 COUNT[2:0]: 0 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A0000000000020 Sequence.

C000000021187A1D HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000021 HitCount: 18 LOCAL L1 TIMESTAMP: 7A1D
005074B60D0389BE DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B6 Ecoarse: 0D0 Tfine: 0E2 Efine: 1BE 
0865748C0A6509DD DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 19 tacID: 1 Tcoarse: 748C Ecoarse: 0A6 Tfine: 142 Efine: 1DD 
085074B70D13F9AA DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B7 Ecoarse: 0D1 Tfine: 0FE Efine: 1AA 
081474990B3421F7 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 05 tacID: 0 Tcoarse: 7499 Ecoarse: 0B3 Tfine: 108 Efine: 1F7 
082B74980B23DDA9 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 0A tacID: 3 Tcoarse: 7498 Ecoarse: 0B2 Tfine: 0F7 Efine: 1A9 
081C748B0A5375A9 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 07 tacID: 0 Tcoarse: 748B Ecoarse: 0A5 Tfine: 0DD Efine: 1A9 
10F4744205C475DF DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 3D tacID: 0 Tcoarse: 7442 Ecoarse: 05C Tfine: 11D Efine: 1DF 
105074B60D03BD64 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 0 Tcoarse: 74B6 Ecoarse: 0D0 Tfine: 0EF Efine: 164 
282C3B5436E3C8FF DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 0B tacID: 0 Tcoarse: 3B54 Ecoarse: 36E Tfine: 0F2 Efine: 0FF 
20983BB73D136CE6 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 26 tacID: 0 Tcoarse: 3BB7 Ecoarse: 3D1 Tfine: 0DB Efine: 0E6 
28903B5436E2F51D DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 24 tacID: 0 Tcoarse: 3B54 Ecoarse: 36E Tfine: 0BD Efine: 11D 
286B3B5436E3B526 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 1A tacID: 3 Tcoarse: 3B54 Ecoarse: 36E Tfine: 0ED Efine: 126 
28E33B5436E44127 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 38 tacID: 3 Tcoarse: 3B54 Ecoarse: 36E Tfine: 110 Efine: 127 
20533B983B23593E DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B98 Ecoarse: 3B2 Tfine: 0D6 Efine: 13E 
28393B6A38449D0E DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 0E tacID: 1 Tcoarse: 3B6A Ecoarse: 384 Tfine: 127 Efine: 10E 
285B3B5436E4F50A DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 16 tacID: 3 Tcoarse: 3B54 Ecoarse: 36E Tfine: 13D Efine: 10A 
284E3B5436E3113C DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 13 tacID: 2 Tcoarse: 3B54 Ecoarse: 36E Tfine: 0C4 Efine: 13C 
285F3B5536F4E51C DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 17 tacID: 3 Tcoarse: 3B55 Ecoarse: 36F Tfine: 139 Efine: 11C 
28533B993B33BD51 DATA   : TIGER: 5 LAST TIGER FRAME NUM[2:0]: 0 TIGER DATA: ChID: 14 tacID: 3 Tcoarse: 3B99 Ecoarse: 3B3 Tfine: 0EF Efine: 151 
